customer_id,name,email,phone,iban
C-001,Alice Bauer,alice.bauer@example.com,(555) 123-4567,DE89370400440532013000
C-002,Bob Chen,bob.chen+work@example.com,555-987-6543,GB29NWBK60161331926819
C-003,Carlos Diaz,carlos@,5551112222,FR1420041010050500013M02606
C-004,Daniela Eckert,daniela@example.de,+49 30 12345678,DE89370400440532013000
C-005,Ethan Fox,not_a_valid_email,212.555.0199,GB29 NWBK 6016 1331 9268 19
C-006,Fiona Gauss,fiona.gauss@example.fr,+33 1 42 34 56 78,FR1420041010050500013M02606
C-007,George Hall,george@example.com,555-FAKE-NUM,DE-INVALID
C-008,Hana Ito,hana.ito@example.jp,+81 3 1234 5678,
C-009,Igor Jansen,igor@example.nl,(212)555-0123,NL91ABNA0417164300
C-010,Julia Kim,julia.kim@example.kr,+82-2-1234-5678,KR1234567890ABCDEF
