customer_id,name,email,country,plan,signup_date,last_login,monthly_revenue,status
1,User 001,user001@example.com,BR,pro,2024-10-28,2024-11-21,27,active
2,User 002,user002@example.com,NL,free,2023-08-08,2023-08-27,0,active
3,User 003,user003@example.com,FR,free,2024-03-10,2024-04-09,0,active
4,User 004,user004@example.com,FR,free,2024-08-22,,0,active
5,User 005,user005@example.com,AU,pro,2024-03-05,2024-05-17,0,churned
6,User 006,user006@example.com,DE,free,2024-08-07,2024-11-11,0,active
7,User 007,user007@example.com,UK,free,2023-07-30,2024-04-09,0,active
8,User 008,user008@example.com,BR,enterprise,2024-04-09,2024-10-11,500,active
9,User 009,user009@example.com,FR,free,2023-11-04,2024-07-29,0,active
10,User 010,user010@example.com,CA,team,2023-03-16,2023-05-15,104,active
11,User 011,user011@example.com,DE,enterprise,2023-02-10,2023-03-21,508,active
12,User 012,user012@example.com,BR,team,2024-08-31,2025-05-12,0,churned
13,User 013,user013@example.com,UK,team,2024-12-14,2025-01-16,96,active
14,User 014,user014@example.com,NL,enterprise,2024-01-31,2024-07-26,0,churned
15,User 015,user015@example.com,NL,free,2023-03-02,2023-06-21,0,active
16,User 016,user016@example.com,FR,enterprise,2024-05-23,2024-07-03,498,active
17,User 017,user017@example.com,DE,enterprise,2023-10-13,2024-05-12,501,active
18,User 018,,FR,pro,2023-06-30,2023-09-15,29,active
19,User 019,user019@example.com,NL,pro,2023-10-16,2023-10-18,0,churned
20,User 020,user020@example.com,NL,team,2024-12-08,2025-08-28,105,trial
21,User 021,user021@example.com,CA,enterprise,2024-02-13,2024-09-01,497,active
22,User 022,user022@example.com,FR,free,2024-03-27,2024-06-18,0,trial
23,User 023,user023@example.com,UK,free,2023-06-04,2024-03-04,0,active
24,User 024,user024@example.com,US,free,2024-09-20,2025-03-31,0,trial
25,User 025,user025@example.com,BR,team,2023-05-06,2023-07-04,103,active
26,User 026,user026@example.com,CA,team,2023-05-28,2023-07-19,107,active
27,User 027,user027@example.com,DE,free,2024-06-24,2024-12-26,0,trial
28,User 028,user028@example.com,US,team,2024-12-13,2025-04-25,104,active
29,User 029,user029@example.com,FR,team,2024-09-19,2024-12-27,108,trial
30,User 030,,FR,pro,2024-05-19,,37,active
31,User 031,user031@example.com,JP,enterprise,2023-07-18,2024-01-10,0,churned
32,User 032,user032@example.com,BR,team,2023-08-14,2023-10-05,99,active
33,User 033,user033@example.com,CA,free,2024-10-30,2025-04-24,0,active
34,User 034,user034@example.com,UK,enterprise,2024-05-04,2024-08-03,502,trial
35,User 035,,IN,enterprise,2023-03-28,2023-06-17,498,active
36,User 036,user036@example.com,NL,enterprise,2024-09-18,2025-05-18,506,trial
37,User 037,user037@example.com,AU,pro,2023-01-15,2023-03-08,34,active
38,User 038,user038@example.com,FR,pro,2023-09-15,2024-01-01,30,active
39,User 039,user039@example.com,BR,team,2024-03-05,2024-05-11,96,active
40,User 040,,CA,enterprise,2023-05-14,2024-02-10,498,active
41,User 041,user041@example.com,CA,pro,2023-01-05,2023-03-22,28,active
42,User 042,user042@example.com,UK,free,2024-11-29,2025-08-21,0,churned
43,User 043,user043@example.com,UK,free,2023-07-15,,0,trial
44,User 044,user044@example.com,CA,free,2024-03-29,2024-09-11,0,active
45,User 045,user045@example.com,AU,pro,2024-04-08,2024-12-24,0,churned
46,User 046,user046@example.com,FR,team,2023-07-27,2024-03-12,98,active
47,User 047,user047@example.com,BR,free,2024-03-14,2024-04-20,0,trial
48,User 048,user048@example.com,UK,pro,2023-05-27,2023-10-03,0,churned
49,User 049,user049@example.com,UK,enterprise,2023-06-16,2023-10-08,498,active
50,User 050,user050@example.com,IN,team,2023-07-20,2024-01-18,101,active
51,User 051,user051@example.com,BR,enterprise,2024-12-21,2024-12-30,502,active
52,User 052,user052@example.com,AU,free,2023-08-23,2023-10-15,0,active
53,User 053,user053@example.com,DE,team,2024-03-08,2024-07-18,102,trial
54,User 054,user054@example.com,NL,enterprise,2023-04-02,2023-08-22,0,churned
55,User 055,user055@example.com,UK,team,2024-10-11,2024-11-25,108,active
56,User 056,user056@example.com,FR,free,2023-05-05,,0,churned
57,User 057,user057@example.com,IN,team,2023-05-13,2023-06-04,104,active
58,User 058,user058@example.com,DE,team,2023-07-05,2023-10-16,100,active
59,User 059,,FR,team,2024-05-27,2024-08-26,100,active
60,User 060,user060@example.com,JP,free,2023-01-19,2023-10-04,0,active
61,User 061,user061@example.com,CA,pro,2023-04-19,2023-11-26,36,active
62,User 062,user062@example.com,IN,team,2023-08-24,2024-02-15,99,trial
63,User 063,user063@example.com,DE,enterprise,2023-02-25,2023-05-02,0,churned
64,User 064,user064@example.com,JP,enterprise,2023-02-26,2023-04-10,506,trial
65,User 065,user065@example.com,JP,pro,2023-02-16,2023-10-09,0,churned
66,User 066,user066@example.com,JP,team,2024-07-14,,0,churned
67,User 067,user067@example.com,FR,team,2023-01-02,2023-06-22,102,trial
68,User 068,user068@example.com,FR,pro,2023-01-06,2023-02-21,30,active
69,User 069,user069@example.com,NL,free,2023-01-24,2023-06-26,0,active
70,User 070,user070@example.com,NL,pro,2024-02-03,2024-07-18,37,active
71,User 071,user071@example.com,NL,pro,2024-06-09,2025-01-14,37,active
72,User 072,user072@example.com,AU,free,2024-11-30,2025-03-27,0,active
73,User 073,,BR,free,2024-04-07,,0,active
74,User 074,user074@example.com,AU,pro,2023-09-28,2023-09-29,33,active
75,User 075,user075@example.com,AU,free,2023-03-09,2023-11-06,0,active
76,User 076,user076@example.com,JP,pro,2023-08-25,2024-04-16,33,trial
77,User 077,user077@example.com,JP,free,2024-10-09,2025-01-18,0,active
78,User 078,user078@example.com,JP,team,2024-08-04,2024-10-11,96,active
79,User 079,user079@example.com,UK,pro,2023-10-25,2024-07-15,30,active
80,User 080,user080@example.com,UK,pro,2023-03-29,2023-11-26,0,churned
