order_id,order_ts,customer_email,country,channel,product_sku,product_name,category,qty,unit_price,revenue,payment_method,status,fulfillment_hrs
ord_000001,2025-01-01 13:14:00,cust759@example.com,CA,social,p_appa_005,👕 T-shirt,apparel,1,26.12,26.12,bank_transfer,completed,6.8
ord_000002,2025-01-01 20:21:00,cust604@example.com,AU,organic,p_book_012,📖 Book — Nonfic.,books,1,18.63,18.63,apple_pay,completed,10.1
ord_000003,2025-01-01 10:59:00,cust271@example.com,UK,organic,p_lapt_002,"💻 Laptop 14""",electronics,1,1174.1,1174.1,apple_pay,cancelled,23.8
ord_000004,2025-01-01 16:05:00,cust072@example.com,JP,email,p_home_010,💡 Smart Bulb,home,2,18.08,36.16,google_pay,completed,4.0
ord_000005,2025-01-01 09:38:00,cust215@example.com,DE,paid_search,p_home_008,🛏 Pillow,home,1,40.71,40.71,paypal,completed,13.3
ord_000006,2025-01-01 08:14:00,cust571@example.com,US,email,p_home_008,🛏 Pillow,home,1,44.93,44.93,google_pay,completed,4.8
ord_000007,2025-01-01 21:09:00,cust323@example.com,AU,organic,p_lapt_002,"💻 Laptop 14""",electronics,1,1287.88,1287.88,bank_transfer,refunded,4.1
ord_000008,2025-01-01 08:55:00,cust371@example.com,BR,organic,p_appa_005,👕 T-shirt,apparel,1,27.42,27.42,paypal,cancelled,7.5
ord_000009,2025-01-01 07:43:00,cust480@example.com,BR,social,p_appa_007,🧥 Jacket,apparel,1,135.25,135.25,bank_transfer,completed,20.8
ord_000010,2025-01-02 12:32:00,cust004@example.com,BR,email,p_book_011,📚 Book — Fiction,books,1,13.4,13.4,apple_pay,cancelled,4.5
ord_000011,2025-01-02 22:01:00,cust553@example.com,BR,direct,p_home_009,🪴 Houseplant,home,1,21.39,21.39,apple_pay,completed,21.6
ord_000012,2025-01-02 11:08:00,cust750@example.com,FR,direct,p_lapt_001,📱 Smartphone Pro,electronics,1,840.66,840.66,paypal,completed,7.3
ord_000013,2025-01-02 16:25:00,cust553@example.com,IN,paid_search,p_home_009,🪴 Houseplant,home,2,22.38,44.76,bank_transfer,completed,17.2
ord_000014,2025-01-02 07:04:00,,US,organic,p_lapt_002,"💻 Laptop 14""",electronics,1,1116.63,1116.63,credit_card,completed,8.5
ord_000015,2025-01-02 22:51:00,cust553@example.com,UK,organic,p_lapt_002,"💻 Laptop 14""",electronics,1,1158.41,1158.41,credit_card,cancelled,8.5
ord_000016,2025-01-02 17:51:00,cust056@example.com,BR,organic,p_appa_007,🧥 Jacket,apparel,1,135.84,135.84,paypal,refunded,3.7
ord_000017,2025-01-02 10:03:00,cust078@example.com,CA,email,p_home_008,🛏 Pillow,home,1,39.49,39.49,credit_card,completed,4.8
ord_000018,2025-01-02 21:18:00,cust061@example.com,UK,social,p_lapt_003,🎧 Headphones,electronics,1,183.52,183.52,bank_transfer,cancelled,1.6
ord_000019,2025-01-03 22:32:00,cust063@example.com,CA,organic,p_appa_005,👕 T-shirt,apparel,1,25.75,25.75,bank_transfer,completed,9.7
ord_000020,2025-01-03 09:26:00,cust414@example.com,NL,paid_search,p_lapt_003,🎧 Headphones,electronics,1,171.18,171.18,apple_pay,completed,3.9
ord_000021,2025-01-03 17:59:00,cust135@example.com,BR,organic,p_lapt_004,⌚ Smartwatch,electronics,1,313.1,313.1,bank_transfer,refunded,9.5
ord_000022,2025-01-03 16:39:00,cust358@example.com,CA,organic,p_lapt_002,"💻 Laptop 14""",electronics,1,1145.68,1145.68,bank_transfer,completed,6.3
ord_000023,2025-01-03 16:38:00,cust110@example.com,JP,social,p_book_011,📚 Book — Fiction,books,1,14.72,14.72,paypal,cancelled,9.9
ord_000024,2025-01-03 15:02:00,cust053@example.com,US,organic,p_book_011,📚 Book — Fiction,books,2,13.88,27.76,paypal,cancelled,3.6
ord_000025,2025-01-03 11:27:00,cust575@example.com,DE,organic,p_appa_005,👕 T-shirt,apparel,1,27.48,27.48,apple_pay,completed,9.8
ord_000026,2025-01-03 11:59:00,cust799@example.com,JP,email,p_appa_006,👟 Sneakers,apparel,1,78.98,78.98,paypal,completed,12.1
ord_000027,2025-01-03 10:24:00,cust422@example.com,US,email,p_lapt_001,📱 Smartphone Pro,electronics,1,888.82,888.82,paypal,completed,11.4
ord_000028,2025-01-04 15:22:00,cust229@example.com,CA,paid_search,p_home_008,🛏 Pillow,home,1,43.79,43.79,bank_transfer,completed,2.0
ord_000029,2025-01-04 20:38:00,cust272@example.com,CA,organic,p_lapt_001,📱 Smartphone Pro,electronics,1,895.01,895.01,bank_transfer,completed,3.5
ord_000030,2025-01-04 20:04:00,cust552@example.com,IN,social,p_appa_005,👕 T-shirt,apparel,1,27.45,27.45,credit_card,cancelled,10.0
ord_000031,2025-01-04 20:42:00,cust714@example.com,UK,social,p_appa_005,👕 T-shirt,apparel,1,28.49,28.49,paypal,refunded,5.8
ord_000032,2025-01-04 17:29:00,,FR,paid_search,p_home_010,💡 Smart Bulb,home,1,18.63,18.63,paypal,refunded,5.0
ord_000033,2025-01-04 17:05:00,cust675@example.com,JP,social,p_home_008,🛏 Pillow,home,1,44.73,44.73,paypal,completed,3.1
ord_000034,2025-01-04 13:45:00,cust787@example.com,UK,paid_search,p_lapt_003,🎧 Headphones,electronics,1,176.46,176.46,paypal,completed,3.5
ord_000035,2025-01-04 23:29:00,cust110@example.com,US,paid_search,p_book_011,📚 Book — Fiction,books,1,14.75,14.75,credit_card,completed,10.7
ord_000036,2025-01-04 21:39:00,cust610@example.com,CA,paid_search,p_lapt_003,🎧 Headphones,electronics,1,189.08,189.08,bank_transfer,completed,3.4
ord_000037,2025-01-04 23:31:00,cust254@example.com,JP,organic,p_lapt_003,🎧 Headphones,electronics,1,183.32,183.32,credit_card,cancelled,12.0
ord_000038,2025-01-04 11:45:00,cust083@example.com,JP,organic,p_appa_005,👕 T-shirt,apparel,1,27.0,27.0,google_pay,completed,4.6
ord_000039,2025-01-04 07:54:00,cust399@example.com,NL,paid_search,p_home_009,🪴 Houseplant,home,1,21.05,21.05,credit_card,completed,20.1
ord_000040,2025-01-04 14:31:00,cust430@example.com,JP,organic,p_appa_005,👕 T-shirt,apparel,1,29.33,29.33,google_pay,completed,8.6
